runs,opponent,ground,date,match,Match_No,total
0,England,Nottingham,2021-08-04,Test,485,22875
42,England,Lord's,2021-08-12,Test,486,22917
20,England,Lord's,2021-08-12,Test,487,22937
7,England,Leeds,2021-08-25,Test,488,22944
55,England,Leeds,2021-08-25,Test,489,22999
50,England,TheOval,2021-09-02,Test,490,23049
44,England,TheOval,2021-09-02,Test,491,23093
57,Pakistan,Dubai(DSC),2021-10-24,T20,492,23150
9,NewZealand,Dubai(DSC),2021-10-31,T20,493,23159
2,Scotland,Dubai(DSC),2021-11-05,T20,494,23161
0,NewZealand,Wankhede,2021-12-03,Test,495,23161
36,NewZealand,Wankhede,2021-12-03,Test,496,23197
35,SouthAfrica,Centurion,2021-12-26,Test,497,23232
18,SouthAfrica,Centurion,2021-12-26,Test,498,23250
79,SouthAfrica,CapeTown,2022-01-11,Test,499,23329
29,SouthAfrica,CapeTown,2022-01-11,Test,500,23358
51,SouthAfrica,Paarl,2022-01-19,ODI,501,23409
0,SouthAfrica,Paarl,2022-01-21,ODI,502,23409
65,SouthAfrica,CapeTown,2022-01-23,ODI,503,23474
8,WestIndies,Ahmedabad,2022-02-06,ODI,504,23482
18,WestIndies,Ahmedabad,2022-02-09,ODI,505,23500
0,WestIndies,Ahmedabad,2022-02-11,ODI,506,23500
17,WestIndies,Kolkata,2022-02-16,T20,507,23517
52,WestIndies,Kolkata,2022-02-18,T20,508,23569
45,SriLanka,Mohali,2022-03-04,Test,509,23614
23,SriLanka,Bengaluru,2022-03-12,Test,510,23637
13,SriLanka,Bengaluru,2022-03-12,Test,511,23650
11,England,Birmingham,2022-07-01,Test,512,23661
20,England,Birmingham,2022-07-01,Test,513,23681
1,England,Birmingham,2022-07-09,T20,514,23682
11,England,Nottingham,2022-07-10,T20,515,23693
16,England,Lord's,2022-07-14,ODI,516,23709
