runs,opponent,ground,date,match,Match_No,total
0,Australia,Melbourne,2011-12-26,Test,85,3149
23,Australia,Sydney,2012-01-03,Test,86,3172
9,Australia,Sydney,2012-01-03,Test,87,3181
44,Australia,Perth,2012-01-13,Test,88,3225
75,Australia,Perth,2012-01-13,Test,89,3300
116,Australia,Adelaide,2012-01-24,Test,90,3416
22,Australia,Adelaide,2012-01-24,Test,91,3438
22,Australia,Sydney,2012-02-01,T20,92,3460
31,Australia,Melbourne,2012-02-03,T20,93,3491
31,Australia,Melbourne,2012-02-05,ODI,94,3522
77,SriLanka,Perth,2012-02-08,ODI,95,3599
18,Australia,Adelaide,2012-02-12,ODI,96,3617
15,SriLanka,Adelaide,2012-02-14,ODI,97,3632
12,Australia,Brisbane,2012-02-19,ODI,98,3644
66,SriLanka,Brisbane,2012-02-21,ODI,99,3710
21,Australia,Sydney,2012-02-26,ODI,100,3731
133,SriLanka,Hobart,2012-02-28,ODI,101,3864
108,SriLanka,Mirpur,2012-03-13,ODI,102,3972
66,Bangladesh,Mirpur,2012-03-16,ODI,103,4038
183,Pakistan,Mirpur,2012-03-18,ODI,104,4221
106,SriLanka,Hambantota,2012-07-21,ODI,105,4327
1,SriLanka,Hambantota,2012-07-24,ODI,106,4328
38,SriLanka,Colombo(RPS),2012-07-28,ODI,107,4366
128,SriLanka,Colombo(RPS),2012-07-31,ODI,108,4494
23,SriLanka,Pallekele,2012-08-04,ODI,109,4517
68,SriLanka,Pallekele,2012-08-07,T20,110,4585
58,NewZealand,Hyderabad(Deccan),2012-08-23,Test,111,4643
103,NewZealand,Bengaluru,2012-08-31,Test,112,4746
51,NewZealand,Bengaluru,2012-08-31,Test,113,4797
70,NewZealand,Chennai,2012-09-11,T20,114,4867
50,Afghanistan,Colombo(RPS),2012-09-19,T20,115,4917
40,England,Colombo(RPS),2012-09-23,T20,116,4957
15,Australia,Colombo(RPS),2012-09-28,T20,117,4972
78,Pakistan,Colombo(RPS),2012-09-30,T20,118,5050
2,SouthAfrica,Colombo(RPS),2012-10-02,T20,119,5052
19,England,Ahmedabad,2012-11-15,Test,120,5071
14,England,Ahmedabad,2012-11-15,Test,121,5085
19,England,Wankhede,2012-11-23,Test,122,5104
7,England,Wankhede,2012-11-23,Test,123,5111
6,England,Kolkata,2012-12-05,Test,124,5117
20,England,Kolkata,2012-12-05,Test,125,5137
103,England,Nagpur,2012-12-13,Test,126,5240
21,England,Pune,2012-12-20,T20,127,5261
38,England,Wankhede,2012-12-22,T20,128,5299
9,Pakistan,Bengaluru,2012-12-25,T20,129,5308
27,Pakistan,Ahmedabad,2012-12-28,T20,130,5335
0,Pakistan,Chennai,2012-12-30,ODI,131,5335
6,Pakistan,Kolkata,2013-01-03,ODI,132,5341
7,Pakistan,Delhi,2013-01-06,ODI,133,5348
15,England,Rajkot,2013-01-11,ODI,134,5363
37,England,Kochi,2013-01-15,ODI,135,5400
77,England,Ranchi,2013-01-19,ODI,136,5477
26,England,Mohali,2013-01-23,ODI,137,5503
0,England,Dharamsala,2013-01-27,ODI,138,5503
107,Australia,Chennai,2013-02-22,Test,139,5610
34,Australia,Hyderabad(Deccan),2013-03-02,Test,140,5644
67,Australia,Mohali,2013-03-14,Test,141,5711
34,Australia,Mohali,2013-03-14,Test,142,5745
1,Australia,Delhi,2013-03-22,Test,143,5746
41,Australia,Delhi,2013-03-22,Test,144,5787
31,SouthAfrica,Cardiff,2013-06-06,ODI,145,5818
22,WestIndies,TheOval,2013-06-11,ODI,146,5840
22,Pakistan,Birmingham,2013-06-15,ODI,147,5862
58,SriLanka,Cardiff,2013-06-20,ODI,148,5920
43,England,Birmingham,2013-06-23,ODI,149,5963
11,WestIndies,Kingston,2013-06-30,ODI,150,5974
2,SriLanka,Kingston,2013-07-02,ODI,151,5976
102,WestIndies,PortofSpain,2013-07-05,ODI,152,6078
31,SriLanka,PortofSpain,2013-07-09,ODI,153,6109
2,SriLanka,PortofSpain,2013-07-11,ODI,154,6111
115,Zimbabwe,Harare,2013-07-24,ODI,155,6226
14,Zimbabwe,Harare,2013-07-26,ODI,156,6240
68,Zimbabwe,Harare,2013-07-28,ODI,157,6308
29,Australia,Rajkot,2013-10-10,T20,158,6337
61,Australia,Pune,2013-10-13,ODI,159,6398
100,Australia,Jaipur,2013-10-16,ODI,160,6498
